N = 03000, Threads = 7, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.30
N = 03000, Threads = 8, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.26
N = 03000, Threads = 9, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.24
N = 03000, Threads = 10, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.22
N = 03000, Threads = 11, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.23
N = 03000, Threads = 12, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.22
N = 03000, Threads = 13, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.22
N = 03000, Threads = 14, Input file = input_data/ellipse_N_03000.gal, Elapsed time = 0:00.22
N = 04000, Threads = 7, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.45
N = 04000, Threads = 8, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.40
N = 04000, Threads = 9, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.39
N = 04000, Threads = 10, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.36
N = 04000, Threads = 11, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.37
N = 04000, Threads = 12, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.37
N = 04000, Threads = 13, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.37
N = 04000, Threads = 14, Input file = input_data/ellipse_N_04000.gal, Elapsed time = 0:00.37
N = 05000, Threads = 7, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.69
N = 05000, Threads = 8, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.63
N = 05000, Threads = 9, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.58
N = 05000, Threads = 10, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.57
N = 05000, Threads = 11, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.57
N = 05000, Threads = 12, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.60
N = 05000, Threads = 13, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.57
N = 05000, Threads = 14, Input file = input_data/ellipse_N_05000.gal, Elapsed time = 0:00.58
N = 06000, Threads = 7, Input file = input_data/ellipse_N_06000.gal, Elapsed time = 0:00.98
N = 06000, Threads = 8, Input file = input_data/ellipse_N_06000.gal, Elapsed time = 0:00.89
N = 06000, Threads = 9, Input file = input_data/ellipse_N_06000.gal, Elapsed time = 0:00.83
